Id,player,position,team
26,Dwyane Wade,SG,MIA
27,Paul George,GF,IND
28,Carmelo Anthony,F,NYK
29,Kyle Lowry,PG,TOR
30,Jimmy Butler,GF,CHI
31,DeMar DeRozan,GF,TOR
32,Paul Millsap,FC,ATL
33,Andre Drummond,C,DET
34,Chris Bosh,PF,MIA
35,John Wall,PG,WAS
36,Isaiah Thomas,PG,BOS
37,Pau Gasol,FC,CHI
38,Al Horford,FC,ATL
39,Kobe Bryant,SG,LAL
40,Kevin Durant,SF,OKC
41,Kawhi Leonard,F,SAS
42,Stephen Curry,G,GSW
43,Russell Westbrook,G,OKC
44,Draymond Green,F,GSW
45,James Harden,SG,HOU
46,Chris Paul,PG,LAC
47,Klay Thompson,G,GSW
48,Anthony Davis,PF,NOP
49,DeMarcus Cousins,C,SAC
50,LaMarcus Aldridge,FC,SAS
51,LeBron James,F,CLE
52,John Wall,PG,WAS
53,Kyle Lowry,PG,TOR
54,Pau Gasol,FC,CHI
55,Carmelo Anthony,F,NYK
56,Al Horford,FC,ATL
57,Jeff Teague,PG,ATL
58,Paul Millsap,FC,ATL
59,Jimmy Butler,GF,CHI
60,Kyrie Irving,G,CLE
61,Chris Bosh,PF,MIA
62,Dwyane Wade,SG,MIA
63,Kyle Korver,SF,ATL
64,Stephen Curry,G,GSW
65,Kobe Bryant,SG,LAL
66,Anthony Davis,PF,NOP
67,Marc Gasol,C,MEM
68,Blake Griffin,PF,LAC
69,James Harden,SG,HOU
70,Klay Thompson,G,GSW
71,LaMarcus Aldridge,FC,POR
72,Russell Westbrook,G,OKC
73,Kevin Durant,SF,OKC
74,Tim Duncan,FC,SAS
75,Chris Paul,PG,LAC
76,DeMarcus Cousins,C,SAC
77,Damian Lillard,G,POR
78,Dirk Nowitzki,PF,DAL
79,LaMarcus Aldridge,FC,POR
80,Damian Lillard,G,POR
81,Chris Paul,PG,LAC
82,Tony Parker,G,SAS
83,James Harden,SG,HOU
84,Dwight Howard,C,HOU
85,Dirk Nowitzki,PF,DAL
86,Kevin Durant,SF,OKC
87,Kobe Bryant,SG,LAL
88,Stephen Curry,G,GSW
89,Blake Griffin,PF,LAC
90,Kevin Love,FC,MIN
91,Anthony Davis,PF,NOP
92,LeBron James,F,MIA
93,Dwyane Wade,SG,MIA
94,Kyrie Irving,G,CLE
95,Paul George,GF,IND
96,Carmelo Anthony,F,NYK
97,Roy Hibbert,C,IND
98,Paul Millsap,FC,ATL
99,DeMar DeRozan,GF,TOR
100,John Wall,PG,WAS
101,Joakim Noah,FC,CHI
102,Joe Johnson,SG,BKN
103,Chris Bosh,PF,MIA
104,Kevin Durant,SF,OKC
105,Dwight Howard,C,LAL
106,Blake Griffin,PF,LAC
107,Kobe Bryant,SG,LAL
108,Chris Paul,PG,LAC
109,Tim Duncan,FC,SAS
110,Tony Parker,G,SAS
111,Russell Westbrook,G,OKC
112,James Harden,SG,HOU
113,Zach Randolph,PF,MEM
114,LaMarcus Aldridge,FC,POR
115,David Lee,FC,GSW
116,Dwyane Wade,SG,MIA
117,LeBron James,F,MIA
118,Rajon Rondo,PG,BOS
119,Carmelo Anthony,F,NYK
120,Kevin Garnett,PF,BOS
121,Chris Bosh,PF,MIA
122,Tyson Chandler,C,NYK
123,Joakim Noah,FC,CHI
124,Paul George,GF,IND
125,Luol Deng,GF,CHI
126,Jrue Holiday,G,PHI
127,Kyrie Irving,G,CLE
128,Brook Lopez,C,BKN
129,Derrick Rose,PG,CHI
130,Dwyane Wade,SG,MIA
131,LeBron James,F,MIA
132,Carmelo Anthony,F,NYK
133,Dwight Howard,C,ORL
134,Chris Bosh,PF,MIA
135,Roy Hibbert,C,IND
136,Paul Pierce,SF,BOS
137,Deron Williams,PG,NJN
138,Luol Deng,GF,CHI
139,Andre Iguodala,SF,PHI
140,Joe Johnson,SG,ATL
141,Rajon Rondo,PG,BOS
142,Kobe Bryant,SG,LAL
143,Chris Paul,PG,LAC
144,Kevin Durant,SF,OKC
145,Blake Griffin,PF,LAC
146,Andrew Bynum,C,LAL
147,Kevin Love,FC,MIN
148,LaMarcus Aldridge,FC,POR
149,Russell Westbrook,G,OKC
150,Dirk Nowitzki,PF,DAL
151,Tony Parker,G,SAS
152,Steve Nash,G,PHX
153,Marc Gasol,C,MEM
154,Carmelo Anthony,F,DEN
155,Kobe Bryant,SG,LAL
156,Kevin Durant,SF,OKC
157,Chris Paul,PG,NOP
158,Yao Ming,C,HOU
159,Manu Ginobili,SG,SAS
160,Dirk Nowitzki,PF,DAL
161,Pau Gasol,FC,LAL
162,Deron Williams,PG,UTA
163,Russell Westbrook,G,OKC
164,Blake Griffin,PF,LAC
165,Tim Duncan,FC,SAS
166,Kevin Love,FC,MIN
167,Dwyane Wade,SG,MIA
168,Amar'e Stoudemire,FC,NYK
169,Dwight Howard,C,ORL
170,LeBron James,F,MIA
171,Derrick Rose,PG,CHI
172,Kevin Garnett,PF,BOS
173,Paul Pierce,SF,BOS
174,Rajon Rondo,PG,BOS
175,Ray Allen,SG,BOS
176,Al Horford,FC,ATL
177,Joe Johnson,SG,ATL
178,Chris Bosh,PF,MIA
179,Deron Williams,PG,UTA
180,Chris Paul,PG,NOP
181,Pau Gasol,FC,LAL
182,Kevin Durant,SF,OKC
183,Dirk Nowitzki,PF,DAL
184,Zach Randolph,PF,MEM
185,Brandon Roy,G,POR
186,Steve Nash,G,PHX
187,Kobe Bryant,SG,LAL
188,Amar'e Stoudemire,FC,PHX
189,Tim Duncan,FC,SAS
190,Carmelo Anthony,F,DEN
191,Chauncey Billups,G,DEN
192,Chris Kaman,C,LAC
193,Jason Kidd,PG,DAL
194,LeBron James,F,CLE
195,Kevin Garnett,PF,BOS
196,Allen Iverson,G,PHI
197,Dwyane Wade,SG,MIA
198,Dwight Howard,C,ORL
199,Rajon Rondo,PG,BOS
200,Derrick Rose,PG,CHI
201,Paul Pierce,SF,BOS
202,Chris Bosh,PF,TOR
203,Gerald Wallace,F,CBO
204,Joe Johnson,SG,ATL
205,Al Horford,FC,ATL
206,David Lee,FC,NYK
207,Chauncey Billups,G,DEN
208,Pau Gasol,FC,LAL
209,Dirk Nowitzki,PF,DAL
210,Shaquille O'Neal,C,PHX
211,Tony Parker,G,SAS
212,Brandon Roy,G,POR
213,David West,PF,NOP
214,Kobe Bryant,SG,LAL
215,Tim Duncan,FC,SAS
216,Chris Paul,PG,NOP
217,Yao Ming,C,HOU
218,Amar'e Stoudemire,FC,PHX
219,Kevin Garnett,PF,BOS
220,Dwight Howard,C,ORL
221,Allen Iverson,G,DET
222,LeBron James,F,CLE
223,Dwyane Wade,SG,MIA
224,Chris Bosh,PF,TOR
225,Danny Granger,GF,IND
226,Devin Harris,G,NJN
227,Joe Johnson,SG,ATL
228,Rashard Lewis,F,ORL
229,Jameer Nelson,G,ORL
230,Paul Pierce,SF,BOS
231,Ray Allen,SG,BOS
232,Mo Williams,G,CLE
233,Carlos Boozer,PF,UTA
234,Steve Nash,G,PHX
235,Dirk Nowitzki,PF,DAL
236,Chris Paul,PG,NOP
237,Brandon Roy,G,POR
238,Amar'e Stoudemire,FC,PHX
239,David West,PF,NOP
240,Allen Iverson,G,DEN
241,Kobe Bryant,SG,LAL
242,Carmelo Anthony,F,DEN
243,Tim Duncan,FC,SAS
244,Yao Ming,C,HOU
245,Jason Kidd,PG,NJN
246,Dwyane Wade,SG,MIA
247,LeBron James,F,CLE
248,Kevin Garnett,PF,BOS
249,Dwight Howard,C,ORL
250,Chauncey Billups,G,DET
251,Chris Bosh,PF,TOR
252,Caron Butler,SF,WAS
253,Richard Hamilton,SG,DET
254,Antawn Jamison,F,WAS
255,Joe Johnson,SG,ATL
256,Paul Pierce,SF,BOS
257,Ray Allen,SG,BOS
258,Rasheed Wallace,FC,DET
259,Kobe Bryant,SG,LAL
260,Tracy McGrady,GF,HOU
261,Kevin Garnett,PF,MIN
262,Tim Duncan,FC,SAS
263,Yao Ming,C,HOU
264,Steve Nash,G,PHX
265,Amar'e Stoudemire,FC,PHX
266,Carlos Boozer,PF,UTA
267,Tony Parker,G,SAS
268,Allen Iverson,G,DEN
269,Shawn Marion,F,PHX
270,Dirk Nowitzki,PF,DAL
271,Ray Allen,SG,SEA
272,Carmelo Anthony,F,DEN
273,Josh Howard,GF,DAL
274,Mehmet Okur,FC,UTA
275,Gilbert Arenas,G,WAS
276,Dwyane Wade,SG,MIA
277,LeBron James,F,CLE
278,Chris Bosh,PF,TOR
279,Shaquille O'Neal,C,MIA
280,Chauncey Billups,G,DET
281,Caron Butler,SF,WAS
282,Vince Carter,SF,NJN
283,Richard Hamilton,SG,DET
284,Dwight Howard,C,ORL
285,Jason Kidd,PG,NJN
286,Jermaine O'Neal,FC,IND
287,Joe Johnson,SG,ATL
288,Steve Nash,G,PHX
289,Kobe Bryant,SG,LAL
290,Tracy McGrady,GF,HOU
291,Tim Duncan,FC,SAS
292,Yao Ming,C,HOU
293,Ray Allen,SG,SEA
294,Elton Brand,PF,LAC
295,Kevin Garnett,PF,MIN
296,Pau Gasol,FC,MEM
297,Shawn Marion,F,PHX
298,Dirk Nowitzki,PF,DAL
299,Tony Parker,G,SAS
300,Allen Iverson,G,PHI
301,Dwyane Wade,SG,MIA
302,LeBron James,F,CLE
303,Shaquille O'Neal,C,MIA
304,Jermaine O'Neal,FC,IND
305,Chauncey Billups,G,DET
306,Chris Bosh,PF,TOR
307,Vince Carter,SF,NJN
308,Richard Hamilton,SG,DET
309,Paul Pierce,SF,BOS
310,Ben Wallace,FC,DET
311,Rasheed Wallace,FC,DET
312,Gilbert Arenas,G,WAS
313,Kobe Bryant,SG,LAL
314,Tracy McGrady,GF,HOU
315,Kevin Garnett,PF,MIN
316,Tim Duncan,FC,SAS
317,Yao Ming,C,HOU
318,Manu Ginobili,SG,SAS
319,Amar'e Stoudemire,FC,PHX
320,Ray Allen,SG,SEA
321,Shawn Marion,F,PHX
322,Steve Nash,G,PHX
323,Dirk Nowitzki,PF,DAL
324,Rashard Lewis,F,SEA
325,Allen Iverson,G,PHI
326,LeBron James,F,CLE
327,Vince Carter,SF,NJN
328,Shaquille O'Neal,C,MIA
329,Grant Hill,SF,ORL
330,Gilbert Arenas,G,WAS
331,Antawn Jamison,F,WAS
332,Dwyane Wade,SG,MIA
333,Zydrunas Ilgauskas,C,CLE
334,Jermaine O'Neal,FC,IND
335,Ben Wallace,FC,DET
336,Paul Pierce,SF,BOS
337,Steve Francis,G,HOU
338,Yao Ming,C,HOU
339,Kobe Bryant,SG,LAL
340,Kevin Garnett,PF,MIN
341,Tim Duncan,FC,SAS
342,Shaquille O'Neal,C,LAL
343,Andrei Kirilenko,PF,UTA
344,Dirk Nowitzki,PF,DAL
345,Peja Stojakovic,F,SAC
346,Ray Allen,SG,SEA
347,Brad Miller,C,SAC
348,Sam Cassell,G,MIN
349,Ben Wallace,FC,DET
350,Jermaine O'Neal,FC,IND
351,Tracy McGrady,GF,ORL
352,Allen Iverson,G,PHI
353,Vince Carter,SF,TOR
354,Jason Kidd,PG,NJN
355,Paul Pierce,SF,BOS
356,Baron Davis,G,NOP
357,Metta World Peace,SF,IND
358,Michael Redd,G,MIL
359,Kenyon Martin,F,NJN
360,Jamaal Magloire,C,NOP
361,Ben Wallace,FC,DET
362,Jermaine O'Neal,FC,IND
363,Tracy McGrady,GF,ORL
364,Allen Iverson,G,PHI
365,Jason Kidd,PG,NJN
366,Paul Pierce,SF,BOS
367,Antoine Walker,F,BOS
368,Zydrunas Ilgauskas,C,CLE
369,Michael Jordan,SG,WAS
370,Jamal Mashburn,SF,NOP
371,Vince Carter,SF,TOR
372,Brad Miller,C,IND
373,Steve Francis,G,HOU
374,Yao Ming,C,HOU
375,Kobe Bryant,SG,LAL
376,Kevin Garnett,PF,MIN
377,Tim Duncan,FC,SAS
378,Shaquille O'Neal,C,LAL
379,Stephon Marbury,G,PHX
380,Shawn Marion,F,PHX
381,Steve Nash,G,DAL
382,Dirk Nowitzki,PF,DAL
383,Gary Payton,G,SEA
384,Peja Stojakovic,F,SAC
385,Chris Webber,F-C,SAC
386,Dikembe Mutombo,C,PHI
387,Vince Carter,SF,TOR
388,Antoine Walker,F,BOS
389,Allen Iverson,G,PHI
390,Ray Allen,SG,MIL
391,Shareef Abdur-Rahim,F,ATL
392,Jason Kidd,PG,NJN
393,Tracy McGrady,GF,ORL
394,Alonzo Mourning,C,MIA
395,Paul Pierce,SF,BOS
396,Jermaine O'Neal,FC,IND
397,Baron Davis,G,CHA
398,Michael Jordan,SG,WAS
399,Shaquille O'Neal,C,LAL
400,Tim Duncan,FC,SAS
401,Kevin Garnett,PF,MIN
402,Kobe Bryant,SG,LAL
403,Steve Francis,G,HOU
404,Karl Malone,PF,UTA
405,Steve Nash,G,DAL
406,Dirk Nowitzki,PF,DAL
407,Gary Payton,G,SEA
408,Peja Stojakovic,F,SAC
409,Wally Szczerbiak,F,MIN
410,Chris Webber,F-C,SAC
411,Elton Brand,PF,LAC
412,Allen Iverson,G,PHI
413,Tracy McGrady,GF,ORL
414,Vince Carter,SF,TOR
415,Alonzo Mourning,C,MIA
416,Grant Hill,SF,ORL
417,Ray Allen,SG,MIL
418,Antonio Davis,FC,TOR
419,Theo Ratliff,C,PHI
420,Glenn Robinson,SF,MIL
421,Jerry Stackhouse,SF,DET
422,Stephon Marbury,G,NJN
423,Anthony Mason,PF,MIA
424,Dikembe Mutombo,C,ATL
425,Latrell Sprewell,SG,NYK
426,Allan Houston,G,NYK
427,Jason Kidd,PG,PHX
428,Kobe Bryant,SG,LAL
429,Tim Duncan,FC,SAS
430,Shaquille O'Neal,C,LAL
431,Chris Webber,F-C,SAC
432,Michael Finley,G-F,DAL
433,Kevin Garnett,PF,MIN
434,Karl Malone,PF,UTA
435,Antonio McDyess,F,DEN
436,Gary Payton,G,SEA
437,Rasheed Wallace,FC,POR
438,David Robinson,C,SAS
439,Vlade Divac,C,SAC